CMDLINE C:\Python39\python.exe main.py
MEM 88.207031 1671224879.8383
MEM 88.207031 1671224879.9500
MEM 88.207031 1671224880.0604
MEM 88.207031 1671224880.1711
MEM 88.207031 1671224880.2816
MEM 88.207031 1671224880.3909
MEM 88.207031 1671224880.5010
MEM 88.207031 1671224880.6112
MEM 88.207031 1671224880.7215
MEM 88.207031 1671224880.8332
MEM 88.207031 1671224880.9449
MEM 88.207031 1671224881.0566
MEM 88.207031 1671224881.1658
MEM 88.207031 1671224881.2774
MEM 88.207031 1671224881.3891
MEM 88.207031 1671224881.5008
MEM 88.207031 1671224881.6111
MEM 88.207031 1671224881.7213
MEM 88.207031 1671224881.8330
MEM 88.207031 1671224881.9434
MEM 88.207031 1671224882.0551
MEM 88.207031 1671224882.1668
MEM 88.207031 1671224882.2775
MEM 88.207031 1671224882.3876
MEM 88.207031 1671224882.4993
MEM 88.207031 1671224882.6099
MEM 88.207031 1671224882.7216
MEM 88.207031 1671224882.8334
MEM 88.207031 1671224882.9440
MEM 88.207031 1671224883.0558
MEM 88.207031 1671224883.1674
MEM 88.207031 1671224883.2782
MEM 88.207031 1671224883.3899
MEM 88.207031 1671224883.5016
MEM 88.207031 1671224883.6117
MEM 88.207031 1671224883.7234
MEM 88.207031 1671224883.8351
MEM 88.207031 1671224883.9458
MEM 88.207031 1671224884.0575
MEM 88.207031 1671224884.1692
MEM 88.207031 1671224884.2809
MEM 88.207031 1671224884.3902
MEM 88.207031 1671224884.5019
MEM 88.207031 1671224884.6126
MEM 88.207031 1671224884.7226
MEM 88.207031 1671224884.8344
MEM 88.207031 1671224884.9451
MEM 88.144531 1671224885.0568
MEM 88.144531 1671224885.1685
MEM 88.144531 1671224885.2776
MEM 88.144531 1671224885.3878
MEM 88.144531 1671224885.4980
MEM 88.144531 1671224885.6083
MEM 88.144531 1671224885.7200
MEM 88.144531 1671224885.8317
MEM 88.144531 1671224885.9424
MEM 88.144531 1671224886.0541
MEM 88.144531 1671224886.1658
MEM 88.144531 1671224886.2765
MEM 88.144531 1671224886.3882
MEM 88.144531 1671224886.4984
MEM 88.144531 1671224886.6091
MEM 88.144531 1671224886.7192
MEM 88.144531 1671224886.8299
MEM 88.144531 1671224886.9416
MEM 88.144531 1671224887.0518
MEM 88.144531 1671224887.1617
MEM 88.144531 1671224887.2724
MEM 88.144531 1671224887.3825
MEM 88.144531 1671224887.4932
MEM 88.144531 1671224887.6049
MEM 88.144531 1671224887.7166
MEM 88.144531 1671224887.8270
MEM 88.144531 1671224887.9379
MEM 88.144531 1671224888.0482
MEM 88.144531 1671224888.1589
MEM 88.144531 1671224888.2706
MEM 88.144531 1671224888.3823
MEM 88.144531 1671224888.4930
MEM 88.144531 1671224888.6047
MEM 88.144531 1671224888.7154
MEM 88.144531 1671224888.8255
MEM 88.144531 1671224888.9352
MEM 88.144531 1671224889.0460
MEM 88.144531 1671224889.1557
MEM 88.144531 1671224889.2664
MEM 88.152344 1671224889.3771
MEM 88.152344 1671224889.4888
MEM 88.152344 1671224889.6005
MEM 88.152344 1671224889.7122
MEM 88.152344 1671224889.8224
MEM 88.152344 1671224889.9341
MEM 88.152344 1671224890.0448
MEM 88.152344 1671224890.1564
