CMDLINE C:\Python39\python.exe main_noplayer.py
MEM 135.957031 1671323188.4354
MEM 135.957031 1671323188.5451
MEM 135.957031 1671323188.6568
MEM 135.957031 1671323188.7642
MEM 135.957031 1671323188.8759
MEM 135.957031 1671323188.9866
MEM 135.957031 1671323189.0973
MEM 135.957031 1671323189.2080
MEM 135.957031 1671323189.3197
MEM 135.957031 1671323189.4284
MEM 135.957031 1671323189.5391
MEM 135.957031 1671323189.6498
MEM 135.957031 1671323189.7606
MEM 135.957031 1671323189.8693
MEM 135.957031 1671323189.9790
MEM 135.957031 1671323190.0874
MEM 135.957031 1671323190.1991
MEM 135.957031 1671323190.3088
MEM 135.957031 1671323190.4197
MEM 135.957031 1671323190.5294
MEM 135.957031 1671323190.6381
MEM 135.957031 1671323190.7488
MEM 135.957031 1671323190.8575
MEM 135.957031 1671323190.9692
MEM 135.957031 1671323191.0799
MEM 135.957031 1671323191.1906
MEM 135.957031 1671323191.3013
MEM 135.960938 1671323191.4140
MEM 135.960938 1671323191.5231
MEM 135.960938 1671323191.6319
MEM 135.960938 1671323191.7485
MEM 135.960938 1671323191.8503
MEM 135.960938 1671323191.9605
MEM 135.960938 1671323192.0692
MEM 135.960938 1671323192.1819
MEM 135.960938 1671323192.2906
MEM 135.960938 1671323192.4013
MEM 135.960938 1671323192.5120
MEM 135.960938 1671323192.6237
MEM 135.960938 1671323192.7344
MEM 135.960938 1671323192.8421
MEM 135.960938 1671323192.9530
MEM 135.960938 1671323193.0712
MEM 135.960938 1671323193.1759
MEM 135.960938 1671323193.2863
MEM 135.960938 1671323193.3901
MEM 135.960938 1671323193.5075
MEM 135.960938 1671323193.6092
MEM 135.960938 1671323193.7174
MEM 135.960938 1671323193.8281
MEM 135.960938 1671323193.9358
MEM 135.960938 1671323194.0455
MEM 135.960938 1671323194.1552
MEM 135.960938 1671323194.2650
MEM 135.960938 1671323194.3747
MEM 135.960938 1671323194.4854
MEM 135.960938 1671323194.5951
MEM 136.371094 1671323194.7108
MEM 136.371094 1671323194.8160
MEM 136.371094 1671323194.9287
MEM 136.371094 1671323195.0383
MEM 136.371094 1671323195.1425
MEM 136.371094 1671323195.2534
MEM 136.371094 1671323195.3621
MEM 136.371094 1671323195.4718
MEM 136.371094 1671323195.5825
MEM 136.371094 1671323195.6932
MEM 136.371094 1671323195.7999
